stateid,state,abortion,abortlaw,attend,battle04,blkpct,bush00,bush04,carfatal,christad,college,conpct_m,cons_hr,defexpen,demnat,dempct_m,demstate,density,division,gb_win00,gb_win04,gore00,hispanic,hscat4,hsdip,indpct_m,kerry04,libpct_m,modpct_m,nader00,nobelts,over64,permit,prcapinc,region,reppct_m,seatbelt,trnout00,trnout04,to_0004,under20,unemploy,union,urban,womleg
HI,Hawaii,29.299999,0,,No,2.9300001,37.462868,45.259998,11.7,34.599998,24,28.352489,22,2710,100,40.44944,73.684212,185.7,Pacific,Gore win,Kerry win,55.791668,8.0500002,med-high,80,36.704121,54.009998,26.436781,45.210728,5.8765979,2.7661357,14,,30214,West,22.846441,80.400002,43.490002,48.259998,4.77,29,6.4000001,23.799999,73.599998,25
ID,Idaho,5.8000002,8,,No,.56999999,67.16964,68.379997,23.700001,50.400002,20.299999,34.655533,90,353,0,23.274162,21.904762,14.8,Mountain,Bush win,Bush win,27.637798,7.1599998,med-high,80,35.108482,30.26,17.954071,47.390396,2.4504557,14.076485,11,18.181818,18584,West,41.617355,58.599998,55.610001,60.509998,4.9000001,34,5.1999998,7,37.5,29.5
IL,Illinois,25.6,4,44.736843,No,15.28,42.584743,44.48,13.5,57.700001,25.799999,29.728371,48.900002,267,50,39.262474,55.367233,216.7,E. North Cent,Gore win,Kerry win,54.596348,10.16,med-low,76,32.995903,54.82,21.856136,48.415493,2.1880283,4.6409297,13,36.184212,23852,Midwest,27.741625,70.199997,56.439999,59.490002,3.05,29,5.3000002,17.9,84.099998,23.200001
IN,Indiana,10.6,8,43.070362,No,8.3199997,56.646881,59.939999,16.6,47.200001,17.700001,37.612709,69,429,36.363636,30.964052,46,164.5,E. North Cent,Bush win,Bush win,41.012104,2.46,med-low,76,33.333332,39.259998,17.561186,44.826107,.8425855,7.5097475,13,22.814499,20281,Midwest,35.702614,62.099998,49.66,53.57,3.9100001,28,4.0999999,11.8,71.699997,19.299999
IA,Iowa,9.8000002,5,37.190083,Yes,1.99,48.220646,49.900002,17.200001,60.299999,20.299999,35.645161,64.599998,199,28.571428,30.844646,44.666668,51.200001,W. North Cent,Gore win,Bush win,48.535645,1.99,med-high,80,40.573151,49.23,19.032259,45.322582,2.2328084,6.8832984,15,33.05785,19245,Midwest,28.582203,78,61.25,68.029999,6.7800002,28,3.8,11.5,44.299999,15.3
KS,Kansas,18.299999,7,50.917431,No,5.9000001,58.041553,62,20.299999,54.099998,28.5,38.704029,75,811,16.666666,29.348722,33.333332,32.099998,W. North Cent,Bush win,Bush win,37.238323,5.3299999,high,81,29.760923,36.619999,15.323993,45.971977,3.3655469,10.536325,14,31.192661,20754,Midwest,40.890354,61.599998,56.200001,58.52,2.3199999,30,4.5,7.9000001,55.400002,28.5
KY,Kentucky,8.8000002,10,50,No,7.2399998,56.501705,59.549999,20.799999,60.099998,20.1,35.592106,82,684,12.5,48.355663,58.695652,99.099998,E. South Cent,Bush win,Bush win,41.374393,.83999997,low,65,21.619976,39.689999,19.078947,45.328949,1.5018907,11.458333,12,8.333333,18197,South,30.024361,60,52.950001,58.650002,5.6999998,29,5.5999999,10.4,48.200001,5.8000002
LA,Louisiana,14.7,8,60.946747,No,32.200001,52.551064,56.720001,20.9,70.099998,19.5,40.579712,68.800003,821,55.555557,46.437199,65.734268,100.3,W. South Cent,Bush win,Bush win,44.875332,2.6800001,low,68,24.879227,42.220001,16.205534,43.214756,1.1595124,9.6360722,11,13.609468,17641,South,28.683575,68.199997,54.990002,58.630001,3.6400001,32,6.6999998,6.5,75.199997,9
ME,Maine,9.6000004,5,,No,.47999999,43.971851,44.580002,14.2,35.799999,19.200001,32.840721,26,1211,50,23.700306,53.846153,40.299999,New England,Gore win,Kerry win,49.086018,.72000003,med-high,79,45.412846,53.57,23.809525,43.349754,5.6959238,5.8681674,15,,19705,Northeast,30.88685,64.300003,67.760002,66.879997,-.88,27,5.0999999,12.8,35.799999,31.700001
MD,Maryland,25.6,3,32.58786,No,27.809999,40.177982,42.93,12.9,43.900002,31.799999,28.471849,33.5,1515,80,50.716049,69.680855,525.29999,South Atlantic,Gore win,Kerry win,56.568417,3.6600001,med-high,78,23.506172,55.91,22.25201,49.276138,2.6545806,3.7195716,10,44.728436,25095,South,25.777779,85,54.549999,57.009998,2.46,27,4.9000001,14.3,92.800003,24.5
MA,Massachusetts,29.200001,6,27.906977,No,6.4299998,32.50119,36.779999,7.5,60.900002,31,22.754196,17.299999,1034,100,33.625462,85.427139,784.29999,New England,Gore win,Kerry win,59.803795,6.1300001,med-high,80,50.784134,61.939999,27.640671,49.605133,6.4211998,2.8957214,15,44.186047,26059,Northeast,15.590405,50,60.439999,64.169998,3.73,25,4.3000002,14.2,96.099998,22.5
MI,Michigan,22.6,8,41.666668,Yes,14.31,46.146214,47.810001,16.5,49.299999,22.1,32.632809,59.200001,273,47.058823,35.594666,42.567566,172.8,E. North Cent,Gore win,Kerry win,51.2798,2.6900001,med-low,77,34.572807,51.23,20.402802,46.96439,1.9885405,5.3784251,13,33.611111,22503,Midwest,29.832529,83.5,59.389999,66.169998,6.7800002,29,4.9000001,21.9,82.400002,20.9
MN,Minnesota,14.2,4,48.806942,Yes,2.98,45.50235,47.610001,13.6,64.199997,31,29.087158,53.299999,347,50,35.319981,43.5,59.400002,W. North Cent,Gore win,Kerry win,47.905571,1.84,high,82,37.616024,51.09,21.299639,49.613201,5.1952591,5.4814816,12,29.067245,22118,Midwest,27.063995,73.400002,69.260002,76.18,6.9200001,29,4,17,69.699997,26.9
MS,Mississippi,5.5,7,,No,36.450001,57.619514,59.439999,31.9,70.099998,19.5,46.829269,64.699997,1157,33.333332,40.290382,64.327484,58.700001,E. South Cent,Bush win,Bush win,40.698101,.83999997,low,64,23.593466,39.720001,14.731708,38.439026,.81695139,21.765989,12,,15726,South,36.116154,50.400002,48.209999,51.139999,2.9300001,31,6.0999999,5,35.299999,11.5
MO,Missouri,8.8999996,9,39.111111,No,11.27,50.422817,53.299999,21,56.299999,22.4,36.244133,62.700001,1477,36.363636,36.275375,44.162437,78.900002,W. North Cent,Bush win,Bush win,47.084274,1.6,med-low,74,37.599293,46.099998,18.215963,45.539906,1.6320662,10.571796,14,39.111111,20827,Midwest,26.125332,67.699997,57.389999,64.160004,6.77,28,4.5999999,13.2,68,20.299999
MT,Montana,16.200001,4,,No,.34,58.437897,59.07,21.700001,42.700001,23.9,37.559807,84,385,33.333332,28.697571,45.333332,6,Mountain,Bush win,Bush win,33.364235,1.8200001,high,81,39.7351,38.57,18.421053,44.019138,5.9457855,16.25,14,,18159,West,31.567329,75.599998,61.16,61.040001,-.12,29,5.3000002,14,33.700001,21.299999
NE,Nebraska,12.1,7,45.783131,No,4.0300002,62.245361,65.900002,18.200001,63.400002,20.9,38.107098,70.599998,629,20,29.032259,,21.6,W. North Cent,Bush win,Bush win,33.25304,4.3899999,high,82,27.073732,32.68,16.438356,45.454544,3.5207074,10.162357,14,31.325302,20531,Midwest,43.894009,70.5,56.950001,58.02,1.0700001,30,2.9000001,7.9000001,51.299999,22.4
NV,Nevada,46.700001,6,,Yes,7.6100001,49.522144,50.470001,20.5,30.5,20.6,32.588455,65,629,40,32.688927,49.206348,15.9,Mountain,Bush win,Bush win,45.975662,15.91,med-high,79,30.404219,47.880001,18.808193,48.603352,2.4644892,7.7847738,11,,24449,West,36.906853,78.5,45.34,53.790001,8.4499998,28,5.4000001,14.4,85.699997,25.4
NH,New Hampshire,12,2,38.144329,Yes,.75999999,48.070309,48.880001,11.5,38.900002,26.6,29.655172,68,534,0,23.958334,29.481133,132.10001,New England,Bush win,Kerry win,46.803181,1.52,high,82,48.333332,50.25,24.137932,46.206898,3.9006751,5.1476793,12,43.298969,23660,Northeast,27.708334,57.900002,62.740002,71.599998,8.8599997,27,4.1999998,9.3000002,59.799999,33.299999
NJ,New Jersey,34.5,1,31.313131,No,14.64,40.291245,46.240002,10.4,55.700001,30.1,30.560272,43.599998,597,60,40.460526,51.260506,1093.8,Mid Atlantic,Gore win,Kerry win,56.12561,12.37,med-low,77,30.098684,52.919998,21.731749,47.707981,2.966655,3.6105976,14,47.474747,28233,Northeast,29.44079,74.199997,56.43,59.919998,3.49,27,6.1999998,19.5,100,11.7
NM,New Mexico,14.4,2,33.766235,Yes,2.5899999,47.847412,49.84,25.9,58.299999,23.1,26.092234,57.299999,1066,40,36.210278,59.82143,14.3,Mountain,Gore win,Bush win,47.908554,40.299999,med-low,75,36.916439,49.049999,24.393204,49.514565,3.5500872,12.320092,10,41.558441,17256,West,26.873283,86.599998,48.240002,54.650002,6.4099998,32,8.3999996,7.5999999,56.700001,19.6
NY,New York,42.799999,2,30.093071,No,17.719999,35.229763,40.080002,9.6999998,55.400002,26.799999,28.663834,34.5,304,67.741936,41.292133,60.377357,384.89999,Mid Atlantic,Gore win,Kerry win,60.212513,14.44,med-low,77,30.337078,58.369999,26.427647,44.90852,3.5771041,2.7620358,14,47.156155,26421,Northeast,28.370787,77.300003,54.73,54.810001,.079999998,27,6.1999998,24.6,91.800003,18.5
NC,North Carolina,21,6,50.896057,No,22.059999,56.029411,56.02,20.6,59.799999,23.299999,38.309765,56.599998,751,46.666668,40.89399,51.176472,154.89999,South Atlantic,Bush win,Bush win,43.20092,2.1300001,low,70,25.279371,43.580002,18.11904,43.571194,,6.8778162,12,21.505377,19785,South,33.826637,80.5,49.619999,54.470001,4.8499999,28,4.3000002,3.0999999,66.800003,17.6
ND,North Dakota,9.6000004,10,,No,.63,60.658581,62.860001,16.799999,75.800003,22.5,42.942944,36,740,100,29.253731,31.205673,9.3000002,W. North Cent,Bush win,Bush win,33.05534,1.1,med-low,77,34.925373,35.5,13.813814,43.243244,3.2908249,10.815047,14,,17411,Midwest,35.820896,47.700001,60.43,64.550003,4.1199999,29,3.0999999,7.3000002,42.700001,15.6
OH,Ohio,16.200001,9,41.762451,Yes,11.51,49.967709,50.810001,12.8,48.900002,21.5,33.626884,62.799999,468,30,35.701832,36.363636,273.70001,E. North Cent,Bush win,Bush win,46.460735,1.6,med-low,76,33.042721,48.709999,19.837774,46.535343,2.5046875,5.7275405,14,31.417625,20937,Midwest,31.255449,65.300003,56.380001,64.559998,8.1800003,28,4.9000001,16.700001,81.099998,24.200001
OK,Oklahoma,12.9,5,,No,7.8299999,60.307854,65.57,24.5,66.699997,20.5,41.737782,77,858,14.285714,46.987087,54.362415,48.700001,W. South Cent,Bush win,Bush win,38.426903,3.8800001,med-low,75,19.010042,34.43,13.653996,44.608223,,12.070511,14,14.814815,17755,South,34.002869,67.5,49.41,56.709999,7.3000002,30,4.0999999,6.8000002,60.200001,8.6999998
OR,Oregon,22.6,0,27.302631,Yes,1.86,46.518375,47.189999,16.6,31.799999,27.700001,31.132784,31.6,208,71.428574,38.781361,44.444443,34.200001,Pacific,Gore win,Kerry win,46.959389,6.0599999,high,82,30.107527,51.349998,23.405851,45.461365,5.0429344,4.4789762,14,52.63158,20704,West,31.111111,83.599998,63,73.959999,10.96,28,5.9000001,15.7,70.199997,25.6
PA,Pennsylvania,15.5,9,32.505642,Yes,9.7200003,46.429306,48.419998,13.2,58.599998,22.1,31.7057,63.200001,443,33.333332,40.145229,45.454544,267.79999,Mid Atlantic,Gore win,Kerry win,50.598549,2.6199999,med-low,75,23.838175,50.919998,19.509501,48.784798,2.1044066,5.5078745,15,34.762981,22451,Northeast,36.016598,70.699997,53.669998,61.220001,7.5500002,27,5.3000002,15.1,84.599998,11.1
RI,Rhode Island,25.5,6,,No,4.96,31.911798,38.669998,7.9000001,75.099998,27.799999,23.076923,24.5,847,75,36.201782,84.821426,945.90002,New England,Gore win,Kerry win,60.987701,6.5799999,low,72,49.554897,59.419998,22.461538,54.46154,6.1235065,4.048583,15,,22586,Northeast,14.243323,64.400002,54.720001,55.169998,.44999999,26,5.0999999,17,93.800003,24.700001
SC,South Carolina,12.9,6,59.375,No,29.9,56.840046,57.98,24.4,61.599998,21.299999,38.523392,69.599998,953,37.5,33.697136,42.35294,127.4,South Atlantic,Bush win,Bush win,40.902153,1.3,low,68,31.650751,40.900002,17.032164,44.444443,1.4608918,14.077164,11,18.75,17754,South,34.652115,73.900002,46.68,50.84,4.1599998,28,6,4.1999998,69.599998,12.9
SD,South Dakota,6.5999999,7,,No,.68000001,60.296772,59.91,23.5,68.099998,21.799999,39.153439,76,458,66.666664,35.588974,28.571428,9.6999998,W. North Cent,Bush win,Bush win,37.564224,1.22,med-low,77,21.804512,38.439999,12.698413,48.148148,,11.246613,15,14.285714,18576,Midwest,42.606518,53.400002,57.610001,68.220001,10.61,31,3.2,5.4000001,33.299999,20
TN,Tennessee,15.2,8,42.217899,No,16.57,51.149155,56.799999,24.6,60.799999,16.9,39.134663,65.400002,439,45.454544,34.530144,54.545456,131.7,E. South Cent,Bush win,Bush win,47.284893,1.14,low,67,33.466312,42.529999,17.112299,43.753036,.95275891,13.956914,12,29.182878,19409,South,32.003548,59,49.040001,54.459999,5.4200001,28,5.1999998,7.5,68,12.1
TX,Texas,20.5,5,42.595818,No,12.3,59.298599,61.09,20.700001,63.5,23.299999,39.690807,58.400002,845,47.058823,35.816574,40.88398,75.400002,W. South Cent,Bush win,Bush win,37.981956,29.67,low,72,31.472244,38.220001,17.845739,42.463451,2.1535864,7.6417003,10,30.923346,20028,South,32.711182,76.599998,47.810001,51.779999,3.97,32,5.5999999,5.5999999,84.199997,17.1
UT,Utah,8.1000004,7,33.620689,No,.89999998,66.830139,71.540001,17.1,79.599998,27.6,39.101719,70.599998,761,20,22.938145,25,25.6,Mountain,Bush win,Bush win,26.344723,6.7600002,high,85,32.087627,26,15.059445,45.838837,4.6512895,8.7142859,9,36.206898,17318,West,44.974228,75.699997,53.34,53.369999,.029999999,37,3.5,5.1999998,77.099998,14.4
VT,Vermont,17.9,0,,No,.50999999,40.697163,38.799999,14.3,41.200001,27.1,22.377623,20,267,100,32.666668,50.86705,63.900002,New England,Gore win,Kerry win,50.634708,.85000002,high,81,44.666668,58.939999,30.069929,47.552448,6.9226794,7.614213,13,,20540,Northeast,22.666666,61.599998,64.830002,66.059998,1.23,27,4.5999999,9.6999998,27.700001,33.299999
VA,Virginia,20,8,37.134911,No,20.07,52.473728,53.68,13.3,46.799999,30.299999,33.938225,66,2903,23.076923,33.407078,36.231884,171.5,South Atlantic,Bush win,Bush win,44.435612,3.7,med-low,75,34.144543,45.48,19.266409,46.795368,2.1682479,6.2582831,10,40.751041,22730,South,32.448376,69.900002,53.93,58.349998,4.4200001,28,4.4000001,6.5,77.900002,11.4
WA,Washington,20.200001,2,24.281151,No,3.48,44.578648,45.639999,14.3,32.5,28.1,31.297369,40.700001,941,72.727272,31.812256,51.70068,85.400002,Pacific,Gore win,Kerry win,50.158215,6.2399998,high,84,38.635376,52.82,22.024075,46.678555,4.1408954,5.0096679,11,52.396168,23001,West,29.552368,81.599998,60.369999,61.400002,1.03,28,6.5,19.700001,82.800003,40.099998
WV,West Virginia,7.5999999,1,43.537415,Yes,3.2,51.915218,56.060001,18.5,41.299999,16.299999,35.277779,54,228,80,47.461929,68.656715,75.199997,South Atlantic,Bush win,Bush win,45.592663,.55000001,low,66,23.604061,43.200001,17.777779,46.944443,1.6478329,11.098841,16,36.05442,17322,South,28.93401,49.5,46.259998,52.32,6.0599999,27,7.5,13.1,41.799999,17.200001
WI,Wisconsin,11.6,8,41.13924,Yes,5.5700002,47.613163,49.32,15.5,63.900002,22.299999,32.745007,50.5,241,60,35.472046,42.424244,96.199997,E. North Cent,Gore win,Kerry win,47.832821,2.5699999,med-high,79,35.655361,49.700001,17.835579,49.419415,3.6200163,6.9295559,14,32.70042,20977,Midwest,28.872595,65.400002,66.309998,73.690002,7.3800001,30,3.5,15.9,67.699997,27.299999
WY,Wyoming,2.7,6,26.415094,No,.82999998,67.7565,68.860001,24.5,47.599998,19.799999,34.196892,91,522,0,25.242718,26.666666,5,Mountain,Bush win,Bush win,27.69898,6.0300002,high,83,32.524273,29.07,18.134714,47.668392,2.1181493,23.492723,10,34.591194,20884,West,42.233009,66.800003,60.32,63.790001,3.47,32,5,8,29.700001,24.4
