"","id","created_time","snippet","headline"
"23",3,"2019-04-04T18:23:36+0000","Some readers agree with Steven Rattner’s alternative to the Green New Deal, while others felt that it didn’t go far enough to avert a global catastrophe.","Climate Change: Debating the Best Fix"
"24",4,"2019-07-26T16:03:46+0000","U.S. cable networks CNN and MSNBC have invited Democratic presidential candidates to participate in televised town hall events in September focused on climate change after activists and some candidates pressured party officials for months to host ...","Networks Invite Democratic Presidential Candidates to Climate Change Town Halls"
"25",5,"2019-07-27T09:51:36+0000","U.S. cable networks CNN and MSNBC have invited Democratic presidential candidates to participate in televised town hall events in September focused on climate change after activists and some candidates pressured party officials for months to host ...","Networks Invite Democratic Presidential Candidates to Climate Change Town Halls"
"26",6,"2019-04-30T20:40:37+0000","Food choices come with climate consequences. See how your diet compares with those of other Americans.","Quiz: How Does Your Diet Contribute to Climate Change?"
"27",7,"2019-02-05T10:00:07+0000","In “A Bright Future,” Joshua S. Goldstein and Staffan A. Qvist look to Europe for examples of how nuclear energy can help solve the global warming crisis.","A Sensible Climate Change Solution, Borrowed From Sweden"
"28",8,"2019-05-24T09:30:07+0000","The Washington governor has long been a leading voice on climate change. He believes he will gain prominence as more voters learn of his record and proposals.","Climate Change Is Catching On With Voters. Why Isn’t Jay Inslee?"
"29",9,"2019-05-30T10:00:06+0000","States point to the economic advantages of cleaning up their electric grids.","To Make Headway on Climate Change, Let’s Change the Subject"
"30",10,"2019-02-05T10:00:01+0000","Lakes that used to freeze every winter now see some years without ice. Scientists say that extensive ice loss will happen within a generation if current warming trends continue.","Climate Change Could Leave Thousands of Lakes Ice-Free"
"31",1,"2019-05-23T20:44:38+0000","As temperatures warm across America, gardeners and growers are seeing flowers, shrubs, and trees shifting northward.","How Climate Change May Affect the Plants in Your Yard"
"32",2,"2019-04-25T09:00:01+0000","A dark synergy of extreme weather and emboldened pests could imperil vast stretches of woodland. Foresters are only starting to wrestle with solutions.","Can Humans Help Trees Outrun Climate Change?"
"33",3,"2019-01-30T19:59:47+0000","Also this week: A good reason to call your cable company.","How Cold Weather and Climate Change Are Connected"
"34",4,"2019-07-28T23:00:05+0000","We need a president who will make it a priority before it is too late.","Jay Inslee: Climate Change Is a Winning Campaign Issue — and President Trump Knows It"
"35",5,"2019-04-10T02:23:01+0000","Fixing the planet is going to be expensive. Can we stomach the bill for human survival?","The Next Reckoning: Capitalism and Climate Change"
"36",6,"2019-07-30T10:00:05+0000","Politics intruded on science and intelligence. That’s why I quit my job as an analyst for the State Department.","The White House Blocked My Report on Climate Change and National Security"
"37",7,"2019-05-15T09:00:12+0000","Politicians in the flood-weary Midwest talk openly about the increased flood threat, but many are wary of blaming climate change for their problems.","In Flood-Hit Midwest, Mayors See Climate Change as a Subject Best Avoided"
"38",8,"2019-06-08T09:00:07+0000","The Midwest floods have highlighted a gap in disaster readiness: Fewer Americans are buying flood insurance, even as climate change increases their risk.","Even as Floods Worsen With Climate Change, Fewer People Insure Against Disaster"
"39",9,"2019-06-04T04:02:19+0000","Here’s what you need to know.","Britain, Tech, Climate Change: Your Tuesday Briefing"
"40",10,"2019-04-13T09:00:07+0000","The problems plaguing farmers in Honduras and elsewhere have mounted with rising temperatures and increasingly unpredictable weather.","Central American Farmers Head to the U.S., Fleeing Climate Change"
"41",1,"2019-07-03T18:40:03+0000","In “The Ice at the End of the World,” Jon Gertner recounts a sprawling history of adventurers and scientists who have tried to unlock the secrets of this vast polar expanse.","To Understand Climate Change, We Need to Understand Greenland"
"42",2,"2019-03-22T19:03:46+0000","Floods are complicated. But here are simple answers to questions about flooding, climate change and staying safe when the water rises.","What Makes a Catastrophic Flood? And Is Climate Change Causing More of Them?"
"43",3,"2019-06-12T10:00:05+0000","Accurate predictions of Earth’s warming require computers that are too expensive for one country or institution.","Is Climate Change Inconvenient or Existential? Only Supercomputers Can Do the Math"
"44",4,"2019-07-09T22:09:36+0000","Cities will need to spend heavily to adapt their water systems to cope with rainstorms like the one that struck Monday, experts warn.","Washington Floods Expose a Double Threat: Old Drains and Climate Change"
"45",5,"2019-07-11T18:58:58+0000","The Gulf Coast is being inundated with rain and preparing for possible landfall of a tropical storm. A study of recent hurricanes found that climate change increased rainfall by up to 9 percent. ","Climate Change Fills Storms With More Rain, Analysis Shows"
"46",6,"2019-07-19T09:00:16+0000","The original moon shoot inspired billions. Calling climate action a moon shot isn’t a perfect parallel — but maybe we should try it anyway.","We Went to the Moon. Why Can’t We Solve Climate Change?"
"47",7,"2019-04-30T20:39:00+0000","How to shop, cook and eat in a warming world.","Your Questions About Food and Climate Change, Answered"
"48",8,"2019-03-05T19:08:54+0000","Readers discuss an essay that called for “alarmism and catastrophic thinking.”","Confronting Climate Change: Don’t Panic"
"49",9,"2019-05-01T10:00:07+0000","A new movement is demanding solutions. They may just be in time to save the planet.","If Politicians Can’t Face Climate Change, Extinction Rebellion Will"
"50",10,"2019-05-22T16:48:38+0000","Also this week, climate report cards for Democratic candidates.","One Thing You Can Do: Drive Smarter"
"51",1,"2019-06-26T20:10:07+0000","President Emmanuel Macron of France said that he would not sign any Group of 20 joint statement unless it dealt with climate change, in a barb at President Trump’s rejection of the Paris accord.","Macron Calls Climate Change a ‘Red Line’ Issue at G20, Rebuking Trump"
"52",2,"2019-06-20T18:50:24+0000","A reader urges Congress to pass a carbon dividend bill, rather than letting administrators change rules with the stroke of a pen.","End ‘Regulatory Ping-Pong’ on Climate Change"
"53",3,"2019-06-04T19:44:28+0000","Trump's second day in London.","President Trump, Climate Change, China: Your Wednesday Briefing"
"54",4,"2019-06-04T10:00:04+0000","Even former Vice President Joseph R. Biden Jr. has embraced the goals of the Green New Deal, showing just how far the Democratic field has moved on climate change.","Climate Change Takes Center Stage as Biden and Warren Release Plans"
"55",5,"2019-06-07T10:00:05+0000","Surely the party can devote one-twelfth of its debate time to the issue that imperils civilization.","The Democratic Party Is Trying to Downplay Climate Change. Don’t Let It."
"56",6,"2019-04-17T16:59:03+0000","Also this week: Our reporter visits Duluth, Minn., a city that could become a climate refuge.","One Thing You Can Do: Fix It"
"57",7,"2019-04-15T10:00:05+0000","Pushing toward the worst scenario despite better options for the future of the environment.","Canada’s Perverse Climate Change Policy: Gas Up"
"58",8,"2019-07-10T21:53:55+0000","The analyst, Rod Schoonover, spoke in June before the House Intelligence Committee, but the White House refused to approve his written testimony for entry into the record. ","State Dept. Intelligence Analyst Quits to Protest Blocked House Testimony"
"59",9,"2019-05-24T19:54:40+0000","Growing numbers of seniors are using more energy. They also are most likely to suffer in extreme weather, which has become more common as the planet warms.","Older People Are Contributing to Climate Change, and Suffering From It"
"60",10,"2019-06-24T17:56:39+0000","Republican lawmakers left the Oregon State Capitol last week to prevent a vote on a climate change bill they oppose. As the police pursue them and the Democrats wait, the bill hangs in the balance.","Why Oregon Republicans Vanished Over a Climate Change Vote"
"61",1,"2019-07-23T08:42:34+0000","Leading resources company BHP will invest $400 million (£321.4 million) over five years to reduce emissions, it said on Tuesday, becoming the first miner to pledge to tackle pollution caused when customers use its products.","BHP Makes $400 Million Climate-Change Emissions Pledge"
"62",2,"2019-07-03T10:00:05+0000","Mr. Buttigieg proposed an expansion of voluntary national service programs, aiming to attract 250,000 Americans. Student debt relief would be offered in exchange.","Pete Buttigieg Proposes National Service Programs for Climate Change and Mental Health"
"63",3,"2019-03-06T19:35:53+0000","Also this week: We’re getting ready to live without plastic packaging. How hard could it be?","Who Will Be the 2020 Climate Candidate? There Are Lots of Choices"
"64",4,"2019-05-08T09:30:48+0000","The actor, director and two-time Sexiest Man Alive starred in a clip about educating “idiots” on climate change.","George Clooney Mocks Trump’s Climate Change Commentary on ‘Kimmel Live’"
"65",5,"2019-03-05T19:00:03+0000","Philipp Blom’s “Nature’s Mutiny” looks at the impact of the 17th century’s “little ice age” on civilization.","Climate Change and Human History"
"66",6,"2019-01-27T18:00:01+0000","A reader asks what the long-term defense against flood-prone tunnels will be.","Preparing the Subways for Climate Change"
"67",7,"2019-04-18T09:00:20+0000","The New York Times sent a climate policy survey to the 18 declared candidates. They all want to stick to the Paris Agreement. Beyond that, they diverge.","We Asked the 2020 Democrats About Climate Change (Yes, All of Them). Here Are Their Ideas."
"68",8,"2019-06-19T18:00:10+0000","A new analysis of satellite data concludes that Himalayan glaciers are melting much faster than before, posing grave risks to millions downstream.","Rising Temperatures Ravage the Himalayas, Rapidly Shrinking Its Glaciers"
"69",9,"2019-01-22T15:00:28+0000","“I’ve never seen jumps in some of the key indicators like this,” the lead researcher said.","Global Warming Concerns Rise Among Americans in New Poll"
"70",10,"2019-04-12T09:00:08+0000","In David Wallace-Wells’s “The Uninhabitable Earth” and Nathaniel Rich’s “Losing Earth,” we have a picture of the increasingly dire problem of global warming.","Two New Books Dramatically Capture the Climate Change Crisis"
"71",1,"2019-04-10T17:06:59+0000","Lynn Nottage’s original play “Submerged,” inspired by artwork by Lorna Simpson, written for T’s Culture issue.","Nostalgia in the Era of Climate Change"
"72",2,"2019-04-30T09:00:17+0000","Driven partly by polls showing voters in both parties — particularly younger ones — are worried about a warming planet, some lawmakers are changing how they talk about climate change.","In a Switch, Some Republicans Start Citing Climate Change as Driving Their Policies"
"73",3,"2019-03-26T15:50:33+0000","The money could make the country more resilient — if it doesn’t just end up causing more conflict and corruption.","Can Exxon Mobil Protect Mozambique From Climate Change?"
"74",4,"2019-03-01T17:33:23+0000","Both climate advocates and deniers of global warming are increasingly using bouts of extreme weather to support their positions.","How the Weather Gets Weaponized in Climate Change Messaging"
"75",5,"2019-05-22T18:02:15+0000","The resolutions, voted on by shareholders, would have pushed the company to reconsider its societal impact.","Amazon Investors Reject Proposals on Climate Change and Facial Recognition"
"76",6,"2019-05-16T01:01:04+0000","Quotation of the Day for Thursday, May 16, 2019.","Quotation of the Day: It’s Bad, It’s Real, Just Don’t Call It Climate Change"
"77",7,"2019-03-15T14:00:58+0000","Children and young adults around the world skipped school en masse Friday to demand action on climate change.","Pictures From Youth Climate Strikes Around the World"
"78",8,"2019-04-24T15:06:39+0000","Also this week, how it feels to stand on a melting glacier.","One Thing You Can Do: Know Your Plastics"
"79",9,"2019-01-17T10:00:01+0000","Many of the big economic questions in coming decades will come down to just how extreme the weather will be, and how to value the future versus the present. ","Climate Change’s Giant Impact on the Economy: 4 Key Issues"
"80",10,"2019-01-19T09:28:35+0000","The hot, dry summer of 2018 produced a sweet bumper harvest that looks like a harbinger of things to come. Traditional styles may suffer, however.","‘Disgusting to Say, but It’s the Truth’: German Winemakers See Boon in Climate Change"
"81",1,"2019-01-16T15:10:06+0000","The former coal lobbyist took the stand before a Senate panel to make his case for leading the E.P.A. and steering President Trump’s agenda of rolling back environmental rules.","Andrew Wheeler, at E.P.A. Confirmation Hearing, Walks a Fine Line on Climate Change"
"82",2,"2019-07-02T18:06:18+0000","Newly released government emails show how climate denier groups quickly dominated the internal discussion over the historic rollback of the Obama-era climate rules.","Climate Change Denialists Dubbed Auto Makers the ‘Opposition’ in Fight Over Trump’s Emissions Rollback"
"83",3,"2019-05-11T21:21:36+0000","A report that Mr. Biden is seeking a “middle ground” on climate change has sparked attacks from progressive Democratic candidates.","Biden’s 2020 Rivals Attack Him From the Left on Climate Change"
"84",4,"2019-04-30T09:00:20+0000","In every region, farmers and scientists are trying to adapt an array of crops to warmer temperatures, invasive pests, erratic weather and earlier growing seasons.","From Apples to Popcorn, Climate Change Is Altering the Foods America Grows"
"85",5,"2019-05-19T05:44:56+0000","On Saturday, in a result that stunned most analysts, voters re-elected the conservative coalition that has long resisted plans to sharply cut down on carbon emissions and coal.","It Was Supposed to Be Australia’s Climate Change Election. What Happened?"
"86",6,"2019-06-26T15:49:57+0000","Mette Frederiksen, leader of the center-left Social Democrats, will head a minority government that pledged a 70 percent cut in carbon emissions by 2030.","Denmark’s New Prime Minister Vows to Tackle Climate Change"
"87",7,"2019-07-09T09:00:18+0000","Our Travel editor says the desk will buy carbon offsets in an effort to acknowledge and address the environmental impact of its coverage. “It’s a start,” she writes.","The Times’s Travel Desk Takes a Step to Offset Its Contribution to Climate Change"
"88",8,"2019-05-06T19:36:43+0000","The royal baby is here.","Kashmir, Meghan Markle, Climate Change: Your Tuesday Briefing"
"89",9,"2019-02-06T21:28:52+0000","In this week’s newsletter: House committees held their first hearings in years on global warming, but the question is whether any climate legislation will have a real shot.","Climate Wasn’t in Trump’s Speech, but It Was Topic A in Congress the Next Day"
"90",10,"2019-04-29T23:58:53+0000","Mr. O’Rourke’s choice to make climate change the first policy focus of his presidential campaign shows just how much the issue has risen among Democrats.","Beto O’Rourke Releases $5 Trillion Climate Change Proposal"
"91",1,"2019-04-15T09:00:08+0000","Bill McKibben’s new book, “Falter,” takes a mostly grim view of our willingness to avert environmental disaster. But he leaves open the possibility that we may yet avoid the worst.","Striking a Balance Between Fear and Hope on Climate Change"
"92",2,"2019-04-30T09:00:11+0000","Consumers don’t have access to much information about how businesses operate, but they can ask questions and focus on one tangible item, the bottle.","How Does Your Love of Wine Contribute to Climate Change?"
"93",3,"2019-05-13T22:09:12+0000","Mr. Biden highlighted his work on climate change dating back to the 1980s in the face of criticism from rivals for the 2020 presidential nomination.","Joe Biden Defends Record on Climate and Calls for ‘Environmental Revolution’"
"94",4,"2019-02-28T15:21:35+0000","We’ve gathered graphs previously published in The Times that illustrate different aspects of climate change. Plus, we suggest strategies for helping students analyze what they see.","Teach About Climate Change With These 24 New York Times Graphs"
"95",5,"2019-03-07T20:00:03+0000","The president is trying to subvert the science that informs the intelligence community.","Despite What Trump Says, Climate Change Threatens Our National Security"
"96",6,"2019-02-20T00:42:39+0000","Called by some “the grandfather of climate science,” he wrote a 1975 paper that asked, “Are We on the Brink of a Pronounced Global Warming?”","Wallace Broecker, 87, Dies; Sounded Early Warning on Climate Change"
"97",7,"2019-06-18T13:00:09+0000","A reporter’s uncomfortable reckoning with the role his family’s vacation travel plays in global warming.","I Am Part of the Climate-Change Problem. That’s Why I Wrote About It."
"98",8,"2019-05-17T15:24:36+0000","A severe drought this year led to restrictions for the Panama Canal. The rains are now returning, but weather patterns are likely to make limits more commonplace in years to come. ","What Panama’s Worst Drought Means for Its Canal’s Future"
"99",9,"2019-04-03T16:27:24+0000","Also this week: How it felt to climb a 28-story ladder in pursuit of news. Our reporter was, he said, “a mess.”","One Thing You Can Do: Keep Your Old Gadgets Out of the Trash"
"100",10,"2019-02-07T10:00:18+0000","A beloved Dutch speedskating race survives by relocating to Austria, where thick ice still beckons. For now.","Racing the Clock, and Climate Change"
"101",1,"2019-03-12T09:19:06+0000","Cleaning up environment holds out prospect for a thriving green economy.","China’s Efforts on Protecting Environment and Combating Climate Change Bear Fruit
"
"102",2,"2019-05-30T09:00:08+0000","Climbers and the Nepalese government believe the recently exposed bodies are the result of global warming, which is rapidly melting the mountain’s glaciers.","As Everest Melts, Bodies Are Emerging From the Ice"
"103",3,"2019-04-22T19:00:07+0000","Most of the world’s poor countries are poorer than they would have been had greenhouse gas emissions not altered the climate. In some rich countries, it's the opposite. ","Global Wealth Gap Would Be Smaller Today Without Climate Change, Study Finds"
"104",4,"2019-03-21T09:00:14+0000","Along the Missouri, John Remus controls a network of dams that dictates the fate of millions. ‘It was not designed to handle this.’","The Fight to Tame a Swelling River With Dams That May Be Outmatched by Climate Change"
"105",5,"2019-05-02T18:42:33+0000","Dirt is dead, but soil is alive — packed with nutrients and boasting properties that keep carbon out of the atmosphere.","To Combat Climate Change, Start From the Ground Up (With Dirt)"
"106",6,"2019-02-21T04:57:59+0000","William Happer, a physicist serving as the president’s deputy assistant for emerging technologies, has said that carbon dioxide is beneficial to humanity.","On Politics: A Climate Denialist on Trump’s Climate Change Panel"
"107",7,"2019-02-14T17:36:11+0000","Inspired by a 16-year-old Swede, thousands of young people are expected to take Friday off to march for action on climate change.","Skipping School to Save the Earth"
"108",8,"2019-04-10T02:24:03+0000","Local communities are taking the world’s largest polluters to court. And they’re using the legal strategy that got tobacco companies to pay up.","Climate Change Could Destroy His Home in Peru. So He Sued an Energy Company in Germany."
"109",9,"2019-03-11T17:32:06+0000","Help us get a picture of how communities around the world are affected by — and adapting to — the manifestations of climate change.","How Is Climate Change Affecting Your Area? We Want to Hear From You"
"110",10,"2019-02-07T05:08:57+0000","Let us help you start your day.","Climate Change, Brexit, Virginia: Your Thursday Briefing"
